guest_email,hotel_id,has_rewards,room_type,amenities_fee,checkin_date,checkout_date,room_rate,billing_address,credit_card_number
moodyeric@example.net,HID_004,False,BASIC,20.44,01 Mar 2020,14 Feb 2020,89.15,"PSC 4273, Box 0888
APO AA 28423",5161033759518983
coryguzman@example.com,HID_004,False,BASIC,24.36,23 Aug 2020,12 Jun 2020,70.85,"417 Lawrence Hollow
East Ericshire, IN 65660",4133047413145475690
caitlinlee@example.net,HID_004,False,BASIC,34.95,13 Apr 2020,22 Apr 2020,82.5,"69754 Mcguire Haven Apt. 260
Crawfordside, IN 80955",4977328103788
andreasmith@example.net,HID_004,False,BASIC,46.64,01 Aug 2020,13 Jul 2020,77.83,"959 Copeland Drive
Lake Kellyport, PA 61063",3524946844839485
fostermichael@example.com,HID_004,False,BASIC,43.34,12 Jan 2020,17 Jan 2020,72.17,"496 Lynn Isle Suite 560
Teresaport, OK 89054",4446905799576890978
kennedymatthew@example.com,HID_004,False,BASIC,16.62,07 Nov 2020,17 Nov 2020,125.44,"7748 Tara Divide
Luisburgh, AS 93970",4265310195602383
michaelpittman@example.com,HID_004,False,BASIC,34.05,13 Oct 2020,09 Dec 2020,134.2,"354 Lee Terrace
New Jimmyside, PA 24004",30279530784085
parkerjessica@example.net,HID_004,True,BASIC,,05 Jun 2020,08 Jun 2020,68.62,"65695 Reyes Brooks Suite 431
Lake Paulastad, PR 92400",2285102384715773
cmiller@example.org,HID_004,False,BASIC,25.0,20 Sep 2020,13 Oct 2020,93.49,"765 Randall Wall Apt. 492
Phillipstad, WV 13830",3541571714584497
evan44@example.com,HID_004,True,BASIC,31.3,19 Nov 2020,,68.17,"4689 Christine Bypass
Latashabury, OK 27719",676377598427
tannerolsen@example.net,HID_004,True,BASIC,20.02,20 May 2020,10 Jun 2020,66.52,"7080 Susan Throughway
Port Christopherhaven, OK 76896",3592111594414982
brittany92@example.org,HID_004,False,BASIC,42.34,04 Oct 2020,28 Oct 2020,75.21,"95000 Lisa Green Apt. 383
Troymouth, VT 88685",4574626038921
timothy35@example.com,HID_004,False,BASIC,,24 Oct 2020,01 Dec 2020,76.66,"Unit 0292 Box 0302
DPO AE 58917",4646817800502538962
phillipsnicholas@example.net,HID_004,False,DELUXE,13.33,25 Mar 2020,17 Apr 2020,99.15,"6593 Smith Meadow Apt. 078
East Brittany, DC 38543",2264002136181479
aguilartina@example.org,HID_004,True,BASIC,18.06,19 Nov 2020,25 Dec 2020,87.76,"806 Mccormick Place
West Adamview, WY 21208",348818694390143
michael00@example.org,HID_004,False,BASIC,15.3,15 Aug 2020,09 Jun 2020,79.64,"206 Williams Flats
Beanland, WY 36918",343590529390078
nrodriguez@example.com,HID_004,False,BASIC,,27 Sep 2020,09 Sep 2020,70.27,"941 Torres Shoal
East Miguel, NM 16873",6011030313305873
oware@example.com,HID_004,False,BASIC,19.04,14 Dec 2020,07 Jan 2021,73.88,"7177 Sierra Lights
Lesliestad, CA 37469",6530016426177590
